,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,composite_performance_score
554,554,Tim Thomas,PHI,21.0,208.28,104.32616,Villanova,USA,1997,1,7,77,11.0,3.7,1.2,0.0,0.069,0.118,0.2269999999999999,0.5379999999999999,0.092,1997-98,1997,0.3354624074948112
558,558,Tim Duncan,SAS,22.0,213.36,112.490816,Wake Forest,US Virgin Islands,1997,1,1,82,21.1,11.9,2.7,8.0,0.108,0.238,0.262,0.5770000000000001,0.131,1997-98,1997,0.5946009987618851
589,589,Keith Booth,CHI,23.0,198.12,102.511792,Maryland,USA,1997,1,28,6,1.7,0.7,0.2,0.0,0.1,0.125,0.236,0.579,0.077,1997-98,1997,0.21768617957398742
595,595,Scot Pollard,DET,23.0,210.82,120.20188,Kansas,USA,1997,1,19,33,2.7,2.2,0.3,0.8,0.133,0.15,0.136,0.555,0.05,1997-98,1997,0.2033341364148399
604,604,Ron Mercer,BOS,22.0,200.66,95.25432,Kentucky,USA,1997,1,6,80,15.3,3.5,2.2,0.0,0.044,0.084,0.2239999999999999,0.491,0.114,1997-98,1997,0.37459055980030875
606,606,Rodrick Rhodes,HOU,24.0,198.12,102.0582,Southern California,USA,1997,1,24,58,5.8,1.2,1.9,0.0,0.03,0.047,0.2,0.439,0.175,1997-98,1997,0.2505495519777467
617,617,Tariq Abdul-Wahad,SAC,23.0,198.12,101.151016,San Jose State,France,1997,1,11,59,6.4,2.0,0.9,0.0,0.048,0.085,0.217,0.456,0.087,1997-98,1997,0.25587557215007334
640,640,Adonal Foyle,GSW,23.0,208.28,113.398,Colgate,St. Vincent & Grenadines,1997,1,8,55,3.0,3.3,0.3,0.0,0.1119999999999999,0.182,0.162,0.418,0.037,1997-98,1997,0.20840411036126869
647,647,Alvin Williams,TOR,23.0,195.58,83.91452,Villanova,USA,1997,2,47,54,6.0,1.5,1.9,1.1,0.027,0.0559999999999999,0.158,0.504,0.156,1997-98,1997,0.2513039992584552
653,653,Anthony Johnson,SAC,23.0,190.5,86.18248,College of Charleston,USA,1997,2,39,77,7.5,2.2,4.3,0.0,0.025,0.061,0.154,0.437,0.222,1997-98,1997,0.3047827250135185
656,656,Anthony Parker,PHI,23.0,198.12,97.52228,Bradley,USA,1997,1,21,37,1.9,0.7,0.5,0.0,0.0409999999999999,0.106,0.178,0.501,0.179,1997-98,1997,0.18806062771815824
660,660,Antonio Daniels,VAN,23.0,193.04,88.45044,Bowling Green,USA,1997,1,4,74,7.8,1.9,4.5,0.0,0.013,0.069,0.178,0.465,0.268,1997-98,1997,0.3213935094346409
669,669,DeJuan Wheat,MIN,24.0,182.88,74.84268,Louisville,USA,1997,2,51,34,1.7,0.3,0.7,0.0,0.021,0.057,0.182,0.504,0.2689999999999999,1997-98,1997,0.1872397322328149
679,679,Danny Fortson,DEN,22.0,200.66,117.93392,Cincinnati,USA,1997,1,10,80,10.2,5.6,1.0,0.0,0.12,0.182,0.23,0.537,0.081,1997-98,1997,0.3535119340699298
698,698,Austin Croshere,IND,23.0,205.74,106.59412,Providence,USA,1997,1,12,26,2.9,1.7,0.3,0.0,0.047,0.1689999999999999,0.1939999999999999,0.412,0.052,1997-98,1997,0.1980564457597708
700,700,Chauncey Billups,TOR,21.0,190.5,91.625584,Colorado,USA,1997,1,3,80,11.2,2.4,3.9,0.0,0.0289999999999999,0.072,0.203,0.516,0.242,1997-98,1997,0.3591615401300026
702,702,Charles Smith,LAC,22.0,193.04,87.996848,New Mexico,USA,1997,1,26,34,3.5,0.8,0.6,0.0,0.05,0.052,0.233,0.4579999999999999,0.128,1997-98,1997,0.21964584463002698
704,704,Charles O'Bannon,DET,23.0,195.58,94.800728,UCLA,USA,1997,2,31,30,2.1,1.1,0.6,4.0,0.065,0.11,0.152,0.423,0.1119999999999999,1997-98,1997,0.18444973457981637
706,706,Cedric Henderson,CLE,23.0,200.66,97.52228,Memphis,USA,1997,2,44,82,10.1,4.0,2.0,3.1,0.036,0.121,0.178,0.514,0.113,1997-98,1997,0.33289850431105505
723,723,Brevin Knight,CLE,22.0,177.8,78.471416,Stanford,USA,1997,1,16,80,9.0,3.2,8.2,6.4,0.033,0.088,0.166,0.515,0.418,1997-98,1997,0.44224829320559955
725,725,Kebu Stewart,PHI,24.0,203.2,108.408488,Cal State-Bakersfield,USA,1997,2,35,15,2.7,2.1,0.1,11.7,0.087,0.212,0.173,0.541,0.03,1997-98,1997,0.24078400260928237
726,726,Bubba Wells,DAL,23.0,195.58,104.32616,Austin Peay,USA,1997,2,34,39,3.3,1.7,0.9,0.0,0.057,0.138,0.185,0.474,0.142,1997-98,1997,0.21879725628099544
743,743,Bobby Jackson,DEN,25.0,185.42,83.91452,Minnesota,USA,1997,1,23,68,11.6,4.4,4.7,0.0,0.043,0.128,0.2319999999999999,0.4529999999999999,0.288,1997-98,1997,0.4086304814423511
756,756,Chris Crawford,ATL,23.0,205.74,106.59412,Marquette,USA,1997,2,50,40,3.8,1.0,0.2,0.0,0.081,0.084,0.252,0.536,0.062,1997-98,1997,0.23690107252817816
763,763,James Cotton,SEA,22.0,195.58,99.79024,Long Beach State,USA,1997,2,32,9,2.7,0.7,0.0,0.0,0.061,0.121,0.332,0.481,0.0,1997-98,1997,0.24654254210399476
764,764,James Collins,LAC,24.0,193.04,88.904032,Florida State,USA,1997,2,36,23,2.6,0.6,0.1,0.0,0.0579999999999999,0.067,0.251,0.482,0.0559999999999999,1997-98,1997,0.2118930655743246
767,767,Jacque Vaughn,UTA,23.0,185.42,86.18248,Kansas,USA,1997,1,27,45,3.1,0.8,1.9,2.9,0.012,0.086,0.218,0.457,0.315,1997-98,1997,0.24410063841426968
790,790,Jason Lawson,ORL,23.0,210.82,108.86208,Villanova,USA,1997,2,41,17,1.5,1.6,0.3,7.4,0.104,0.345,0.111,0.67,0.083,1997-98,1997,0.21140758332920806
795,795,Johnny Taylor,ORL,24.0,205.74,99.79024,Tennessee-Chattanooga,USA,1997,1,17,12,3.2,1.1,0.1,4.8,0.043,0.127,0.215,0.431,0.0139999999999999,1997-98,1997,0.21260003584918122
798,798,John Thomas,TOR,22.0,205.74,120.20188,Minnesota,USA,1997,1,25,54,2.8,2.0,0.3,0.0,0.099,0.133,0.145,0.552,0.05,1997-98,1997,0.20248472942149118
813,813,Jerald Honeycutt,MIL,23.0,205.74,115.212368,Tulane,USA,1997,2,38,38,6.4,2.4,0.9,2.1,0.0579999999999999,0.149,0.245,0.497,0.111,1997-98,1997,0.2855237008650286
823,823,Ed Gray,ATL,22.0,190.5,95.25432,California,USA,1997,1,22,30,7.6,1.5,1.1,0.0,0.023,0.09,0.248,0.492,0.132,1997-98,1997,0.2803204907804717
846,846,Derek Anderson,CLE,23.0,195.58,88.45044,Kentucky,USA,1997,1,13,66,11.7,2.8,3.4,3.9,0.038,0.091,0.215,0.531,0.2189999999999999,1997-98,1997,0.3762108926812327
854,854,God Shammgod,WAS,22.0,182.88,76.657048,Providence,USA,1997,2,45,20,3.1,0.4,1.8,0.0,0.013,0.036,0.256,0.428,0.419,1997-98,1997,0.24045818905795938
874,874,Eric Washington,DEN,24.0,193.04,86.18248,Alabama,USA,1997,2,46,66,7.7,1.9,1.2,0.0,0.034,0.063,0.176,0.478,0.093,1997-98,1997,0.2555986721585168
903,903,Cory Carr,CHI,23.0,193.04,95.25432,Texas Tech,USA,1998,2,49,42,4.1,1.2,1.6,0.0,0.015,0.0819999999999999,0.21,0.372,0.206,1998-99,1998,0.22625822068055298
904,904,Cuttino Mobley,HOU,23.0,193.04,86.18248,Rhode Island,USA,1998,2,41,49,9.9,2.3,2.5,3.7,0.019,0.067,0.174,0.537,0.1369999999999999,1998-99,1998,0.32120737930355164
948,948,J.R. Henderson,VAN,22.0,203.2,105.68693600000002,UCLA,USA,1998,2,56,30,3.2,1.6,0.7,0.0,0.069,0.0969999999999999,0.1889999999999999,0.419,0.128,1998-99,1998,0.2057699197794393
968,968,Felipe Lopez,VAN,24.0,198.12,88.45044,St. John's (NY),Dominican Republic,1998,1,24,47,9.3,3.5,1.3,0.0,0.065,0.0969999999999999,0.196,0.498,0.093,1998-99,1998,0.3030649979745073
979,979,Corey Benjamin,CHI,21.0,198.12,90.7184,Oregon State,USA,1998,1,28,30,3.9,1.3,0.3,0.0,0.0579999999999999,0.095,0.2269999999999999,0.4379999999999999,0.065,1998-99,1998,0.21775790262995298
1019,1019,Andrae Patterson,MIN,23.0,205.74,107.954896,Indiana,USA,1998,2,46,35,3.3,1.9,0.4,0.0,0.104,0.144,0.206,0.505,0.094,1998-99,1998,0.22541153511682777
1024,1024,Antawn Jamison,GSW,23.0,205.74,101.151016,North Carolina,USA,1998,1,4,47,9.6,6.4,0.7,0.0,0.12,0.173,0.216,0.487,0.0579999999999999,1998-99,1998,0.34060663392372553
1028,1028,Bonzi Wells,POR,22.0,195.58,95.25432,Ball State,USA,1998,1,11,7,4.4,1.3,0.4,0.0,0.125,0.125,0.389,0.555,0.231,1998-99,1998,0.3110478420783173
1062,1062,Brian Skinner,LAC,23.0,205.74,115.66596,Baylor,USA,1998,1,22,21,4.1,2.5,0.0,0.5,0.085,0.152,0.182,0.503,0.0069999999999999,1998-99,1998,0.22220023145642367
1067,1067,Bryce Drew,HOU,24.0,190.5,83.91452,Valparaiso,USA,1998,1,16,34,3.5,0.9,1.5,0.0,0.008,0.073,0.171,0.445,0.193,1998-99,1998,0.2105185142554423
1072,1072,Casey Shaw,PHI,23.0,210.82,117.93392,Toledo,USA,1998,2,37,9,0.2,0.3,0.0,0.0,0.1669999999999999,0.0,0.286,0.125,0.0,1998-99,1998,0.1477367390560723
1078,1078,Jahidi White,WAS,23.0,205.74,131.54168,Georgetown,USA,1998,2,43,20,2.5,2.9,0.1,0.0,0.139,0.191,0.147,0.517,0.008,1998-99,1998,0.20432048949558534
1087,1087,Roshown McLeod,ATL,23.0,203.2,99.79024,Duke,USA,1998,1,20,34,4.8,1.5,0.4,0.0,0.042,0.131,0.276,0.4429999999999999,0.09,1998-99,1998,0.25072724366389676
1088,1088,Ruben Patterson,LAL,23.0,198.12,102.965384,Cincinnati,USA,1998,2,31,24,2.7,1.3,0.1,0.0,0.13,0.107,0.2289999999999999,0.503,0.024,1998-99,1998,0.2162698023648387
1090,1090,Ryan Stack,CLE,23.0,210.82,97.52228,South Carolina,USA,1998,2,48,18,2.6,1.9,0.3,0.0,0.1169999999999999,0.094,0.14,0.513,0.045,1998-99,1998,0.19141446185186217
1092,1092,Sam Jacobson,LAL,23.0,193.04,97.52228,Minnesota,USA,1998,1,26,2,4.0,1.5,0.0,26.0,0.0,0.214,0.24,0.68,0.0,1998-99,1998,0.32838899038857455
1093,1093,Robert Traylor,MIL,22.0,203.2,128.820128,Michigan,USA,1998,1,6,49,5.3,3.7,0.8,6.9,0.129,0.158,0.1669999999999999,0.5479999999999999,0.072,1998-99,1998,0.28135296821263306
1101,1101,Sean Marks,TOR,23.0,208.28,113.398,California,New Zealand,1998,2,44,8,1.4,0.1,0.0,0.0,0.0,0.0559999999999999,0.204,0.619,0.0,1998-99,1998,0.1956943900922019
1111,1111,Pat Garrity,PHX,22.0,205.74,107.954896,Notre Dame,USA,1998,1,19,39,5.6,1.9,0.5,3.2,0.0579999999999999,0.107,0.185,0.557,0.055,1998-99,1998,0.2514540489751427
1114,1114,Paul Pierce,BOS,21.0,200.66,99.79024,Kansas,USA,1998,1,10,48,16.5,6.4,2.4,0.0,0.079,0.134,0.2319999999999999,0.54,0.121,1998-99,1998,0.4388365395668381
1120,1120,Raef LaFrentz,DEN,23.0,210.82,108.86208,Kansas,USA,1998,1,3,12,13.8,7.6,0.7,0.0,0.093,0.184,0.182,0.5529999999999999,0.038,1998-99,1998,0.382971670024729
1136,1136,Ricky Davis,CHH,19.0,200.66,88.45044,Iowa,USA,1998,1,21,46,4.5,1.8,1.3,0.2,0.09,0.091,0.233,0.462,0.186,1998-99,1998,0.25596234244872235
1150,1150,Tyronn Lue,LAL,22.0,182.88,79.3786,Nebraska,USA,1998,1,23,15,5.0,0.3,1.7,1.7,0.006,0.025,0.1989999999999999,0.505,0.207,1998-99,1998,0.2427197819738597
1151,1151,Tyson Wheeler,DEN,23.0,177.8,74.84268,Rhode Island,USA,1998,2,47,1,4.0,0.0,2.0,62.2,0.0,0.0,0.32,1.064,0.667,1998-99,1998,0.5389664548913808
1167,1167,Vince Carter,TOR,22.0,200.66,97.52228,North Carolina,USA,1998,1,5,50,18.3,5.7,3.0,1.2,0.061,0.127,0.257,0.516,0.1639999999999999,1998-99,1998,0.46401402916764584
