Connecticut,"[('LAL', 'Travis Knight', 1996), ('MIL', 'Ray Allen', 1996), ('WAS', 'Richard Hamilton', 1999), ('CHI', 'Jake Voskuhl', 2000), ('CHI', 'Khalid El-Amin', 2000), ('MIA', 'Caron Butler', 2002), ('CHI', 'Ben Gordon', 2004), ('CHA', 'Emeka Okafor', 2004), ('TOR', 'Charlie Villanueva', 2005), ('MEM', 'Rudy Gay', 2006), ('NOK', 'Hilton Armstrong', 2006), ('NJN', 'Marcus Williams', 2006), ('NJN', 'Josh Boone', 2006), ('IND', 'AJ Price', 2009), ('MEM', 'Hasheem Thabeet', 2009), ('CHA', 'Kemba Walker', 2011), ('OKC', 'Jeremy Lamb', 2012), ('DET', 'Andre Drummond', 2012), ('MIA', 'Shabazz Napier', 2014), ('CHA', 'James Bouknight', 2021), ('ATL', 'Tyrese Martin', 2022)]"
North Carolina State,"[('GSW', 'Todd Fuller', 1996), ('DEN', 'Julius Hodge', 2005), ('NOK', 'Cedric Simmons', 2006), ('CLE', 'JJ Hickson', 2008), ('PHI', 'Lorenzo Brown', 2013), ('PHX', 'TJ Warren', 2014), ('DAL', 'Dennis Smith Jr.', 2017)]"
Memphis,"[('LAC', 'Lorenzen Wright', 1996), ('CLE', 'Cedric Henderson', 1997), ('CLE', 'Dajuan Wagner', 2002), ('MEM', 'Antonio Burks', 2004), ('PHI', 'Rodney Carney', 2006), ('IND', 'Shawne Williams', 2006), ('HOU', 'Joey Dorsey', 2008), ('CHI', 'Derrick Rose', 2008), ('NJN', 'Chris Douglas-Roberts', 2008), ('SAC', 'Tyreke Evans', 2009), ('POR', 'Will Barton', 2012), ('GSW', 'James Wiseman', 2020), ('MIA', 'Precious Achiuwa', 2020), ('DET', 'Jalen Duren', 2022), ('MIN', 'Josh Minott', 2022)]"
Drexel,"[('CHH', 'Malik Rose', 1996)]"
Murray State,"[('POR', 'Marcus Brown', 1996), ('HOU', 'Isaiah Canaan', 2013), ('OKC', 'Cameron Payne', 2015), ('MEM', 'Ja Morant', 2019)]"
Massachusetts,"[('TOR', 'Marcus Camby', 1996), ('CLE', 'Lari Ketner', 1999), ('MIA', 'Stephane Lasme', 2007)]"
Villanova,"[('NJN', 'Kerry Kittles', 1996), ('PHI', 'Tim Thomas', 1997), ('TOR', 'Alvin Williams', 1997), ('ORL', 'Jason Lawson', 1997), ('LAL', 'John Celestand', 1999), ('TOR', 'Michael Bradley', 2001), ('MIN', 'Randy Foye', 2006), ('MEM', 'Kyle Lowry', 2006), ('POR', 'Dante Cunningham', 2009), ('DET', 'Darrun Hilliard', 2015), ('LAL', 'Josh Hart', 2017), ('MIL', 'Donte DiVincenzo', 2018), ('DAL', 'Jalen Brunson', 2018), ('ATL', 'Omari Spellman', 2018), ('PHX', 'Mikal Bridges', 2018), ('GSW', 'Eric Paschall', 2019), ('DET', 'Saddiq Bey', 2020), ('OKC', 'Jeremiah Robinson-Earl', 2021)]"
Washington State,"[('PHI', 'Mark Hendrickson', 1996), ('OKC', 'Kyle Weaver', 2008), ('GSW', 'Klay Thompson', 2011), ('POR', 'CJ Elleby', 2020)]"
Central State (OH),"[('ATL', 'Priest Lauderdale', 1996)]"
Arizona,"[('CLE', 'Reggie Geary', 1996), ('PHX', 'Ben Davis', 1996), ('VAN', 'Mike Bibby', 1998), ('HOU', 'Michael Dickerson', 1998), ('ORL', 'Miles Simon', 1998), ('CLE', 'A.J. Bramlett', 1999), ('ATL', 'Jason Terry', 1999), ('NJN', 'Richard Jefferson', 2001), ('GSW', 'Gilbert Arenas', 2001), ('MIN', 'Loren Woods', 2001), ('LAL', 'Luke Walton', 2003), ('PHI', 'Andre Iguodala', 2004), ('ATL', 'Salim Stoudamire', 2005), ('NYK', 'Channing Frye', 2005), ('NJN', 'Hassan Adams', 2006), ('LAC', 'Marcus Williams', 2007), ('POR', 'Jerryd Bayless', 2008), ('HOU', 'Chase Budinger', 2009), ('HOU', 'Jordan Hill', 2009), ('MIN', 'Derrick Williams', 2011), ('IND', 'Solomon Hill', 2013), ('HOU', 'Nick Johnson', 2014), ('ORL', 'Aaron Gordon', 2014), ('BKN', 'Rondae Hollis-Jefferson', 2015), ('DET', 'Stanley Johnson', 2015), ('BOS', 'Kadeem Allen', 2017), ('CHI', 'Lauri Markkanen', 2017), ('PHX', 'Deandre Ayton', 2018), ('DEN', 'Zeke Nnaji', 2020), ('DAL', 'Josh Green', 2020), ('GSW', 'Nico Mannion', 2020), ('IND', 'Bennedict Mathurin', 2022), ('TOR', 'Christian Koloko', 2022), ('CHI', 'Dalen Terry', 2022)]"
West Florida,"[('VAN', 'Moochie Norris', 1996)]"
Marquette,"[('ORL', 'Amal McCaskill', 1996), ('ATL', 'Chris Crawford', 1997), ('MIA', 'Dwyane Wade', 2003), ('ORL', 'Travis Diener', 2005), ('HOU', 'Steve Novak', 2006), ('MIN', 'Lazar Hayward', 2010), ('CHI', 'Jimmy Butler', 2011), ('LAL', 'Darius Johnson-Odom', 2012), ('DAL', 'Jae Crowder', 2012), ('DET', 'Henry Ellenson', 2016)]"
Michigan,"[('LAC', 'Maurice Taylor', 1997), ('MIL', 'Robert Traylor', 1998), ('CHI', 'Jamal Crawford', 2000), ('CHA', 'Bernard Robinson', 2004), ('LAL', 'Darius Morris', 2011), ('UTA', 'Trey Burke', 2013), ('NYK', 'Tim Hardaway Jr.', 2013), ('SAC', 'Nik Stauskas', 2014), ('OKC', 'Mitch McGary', 2014), ('PHI', 'Glenn Robinson III', 2014), ('BKN', 'Caris LeVert', 2016), ('MIL', 'D.J. Wilson', 2017), ('LAL', 'Moritz Wagner', 2018), ('NYK', 'Ignas Brazdeikis', 2019), ('GSW', 'Jordan Poole', 2019), ('ORL', 'Franz Wagner', 2021), ('DET', 'Isaiah Livers', 2021), ('LAC', 'Moussa Diabate', 2022), ('ORL', 'Caleb Houstan', 2022)]"
Iowa State,"[('POR', 'Kelvin Cato', 1997), ('CHI', 'Marcus Fizer', 2000), ('IND', 'Jamaal Tinsley', 2001), ('NOH', 'Jackson Vroman', 2004), ('DET', 'Will Blalock', 2006), ('LAC', 'Mike Taylor', 2008), ('PHI', 'Craig Brackins', 2010), ('IND', 'Georges Niang', 2016), ('DEN', 'Monte Morris', 2017), ('LAL', 'Talen Horton-Tucker', 2019), ('PHI', 'Marial Shayok', 2019), ('SAC', 'Tyrese Haliburton', 2020)]"
Utah,"[('NJN', 'Keith Van Horn', 1997), ('ORL', 'Michael Doleac', 1998), ('CLE', 'Andre Miller', 1999), ('ATL', 'Hanno Mottola', 2000), ('MIL', 'Andrew Bogut', 2005), ('TOR', 'Delon Wright', 2015), ('TOR', 'Jakob Poeltl', 2016), ('LAL', 'Kyle Kuzma', 2017)]"
Wake Forest,"[('SAS', 'Tim Duncan', 1997), ('DAL', 'Josh Howard', 2003), ('NOK', 'Chris Paul', 2005), ('CHI', 'James Johnson', 2009), ('ATL', 'Jeff Teague', 2009), ('LAC', 'Al-Farouq Aminu', 2010), ('ATL', 'John Collins', 2017), ('MEM', 'Jake LaRavia', 2022)]"
Maryland,"[('CHI', 'Keith Booth', 1997), ('VAN', 'Obinna Ekezie', 1999), ('WAS', 'Laron Profit', 1999), ('HOU', 'Steve Francis', 1999), ('HOU', 'Terence Morris', 2001), ('WAS', 'Juan Dixon', 2002), ('CHI', 'Lonny Baxter', 2002), ('LAC', 'Chris Wilcox', 2002), ('WAS', 'Steve Blake', 2003), ('PHX', 'DJ Strawberry', 2007), ('MEM', 'Greivis Vasquez', 2010), ('NJN', 'Jordan Williams', 2011), ('PHX', 'Alex Len', 2013), ('POR', 'Jake Layman', 2016), ('LAC', 'Diamond Stone', 2016), ('ATL', 'Kevin Huerter', 2018), ('ATL', 'Bruno Fernando', 2019), ('PHX', 'Jalen Smith', 2020), ('OKC', 'Aaron Wiggins', 2021)]"
Kansas,"[('DET', 'Scot Pollard', 1997), ('UTA', 'Jacque Vaughn', 1997), ('BOS', 'Paul Pierce', 1998), ('DEN', 'Raef LaFrentz', 1998), ('SAC', 'Ryan Robertson', 1999), ('ORL', 'Drew Gooden', 2002), ('CHI', 'Kirk Hinrich', 2003), ('MIA', 'Wayne Simien', 2005), ('NOH', 'Julian Wright', 2007), ('CLE', 'Darnell Jackson', 2008), ('MEM', 'Darrell Arthur', 2008), ('MIA', 'Mario Chalmers', 2008), ('IND', 'Brandon Rush', 2008), ('OKC', 'Cole Aldrich', 2010), ('MEM', 'Xavier Henry', 2010), ('MEM', 'Josh Selby', 2011), ('HOU', 'Marcus Morris', 2011), ('PHX', 'Markieff Morris', 2011), ('HOU', 'Thomas Robinson', 2012), ('BKN', 'Tyshawn Taylor', 2012), ('NOP', 'Jeff Withey', 2013), ('SAC', 'Ben McLemore', 2013), ('MIN', 'Andrew Wiggins', 2014), ('WAS', 'Kelly Oubre Jr.', 2015), ('NOP', 'Cheick Diallo', 2016), ('PHX', 'Josh Jackson', 2017), ('SAC', 'Frank Mason', 2017), ('CHA', ""Devonte' Graham"", 2018), ('DET', 'Svi Mykhailiuk', 2018), ('UTA', 'Udoka Azubuike', 2020), ('UTA', 'Ochai Agbaji', 2022), ('DEN', 'Christian Braun', 2022)]"
Southern California,"[('HOU', 'Rodrick Rhodes', 1997), ('CLE', 'Jeff Trepagnier', 2001), ('NJN', 'Brian Scalabrine', 2001), ('BOS', 'Gabe Pruitt', 2007), ('WAS', 'Nick Young', 2007), ('MEM', 'O.J. Mayo', 2008), ('CHI', 'Taj Gibson', 2009), ('TOR', 'DeMar DeRozan', 2009), ('PHI', 'Nikola Vucevic', 2011), ('CLE', 'Kevin Porter Jr.', 2019), ('ATL', 'Onyeka Okongwu', 2020), ('CLE', 'Evan Mobley', 2021), ('CLE', 'Isaiah Mobley', 2022)]"
San Jose State,"[('SAC', 'Tariq Abdul-Wahad', 1997)]"
Colgate,"[('GSW', 'Adonal Foyle', 1997)]"
College of Charleston,"[('SAC', 'Anthony Johnson', 1997), ('LAL', 'Andrew Goudelock', 2011), ('UTA', 'Jarrell Brantley', 2019), ('CHA', 'Grant Riller', 2020)]"
Bradley,"[('PHI', 'Anthony Parker', 1997), ('GSW', ""Patrick O'Bryant"", 2006)]"
Bowling Green,"[('VAN', 'Antonio Daniels', 1997), ('PHI', 'Richaun Holmes', 2015)]"
